Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,asymmetric,0.01,0.31926569722822096
100% Corpus,4,asymmetric,0.31,0.3198768161228624
100% Corpus,4,asymmetric,0.61,0.32827082044182887
100% Corpus,4,asymmetric,0.91,0.3153656156700808
100% Corpus,4,0.01,symmetric,0.3252718044536035
100% Corpus,4,0.01,0.01,0.3160530052066126
100% Corpus,4,0.01,0.31,0.322516100993672
100% Corpus,4,0.01,0.61,0.3145992665868298
100% Corpus,4,0.01,0.91,0.3171393780646405
100% Corpus,4,0.31,symmetric,0.3257267151433022
100% Corpus,4,0.31,0.01,0.31680962822365655
100% Corpus,4,0.31,0.31,0.3158714478359208
100% Corpus,4,0.31,0.61,0.32054292198677214
100% Corpus,4,0.31,0.91,0.3229803656866221
100% Corpus,4,0.61,symmetric,0.31791203024260484
100% Corpus,4,0.61,0.01,0.3232563940067854
100% Corpus,4,0.61,0.31,0.3171285369312724
100% Corpus,4,0.61,0.61,0.3230066513370313
100% Corpus,4,0.61,0.91,0.32025929977261725
100% Corpus,4,0.91,symmetric,0.31791611988727175
100% Corpus,4,0.91,0.01,0.3161167366293477
100% Corpus,4,0.91,0.31,0.3251313825896828
100% Corpus,4,0.91,0.61,0.3159141651903053
100% Corpus,4,0.91,0.91,0.3125605696536712
100% Corpus,5,symmetric,symmetric,0.32010752129837244
100% Corpus,5,symmetric,0.01,0.32720054999349496
100% Corpus,5,symmetric,0.31,0.321337500378888
100% Corpus,5,symmetric,0.61,0.32152094019244537
100% Corpus,5,symmetric,0.91,0.31546815860440924
100% Corpus,5,asymmetric,symmetric,0.320849412721787
100% Corpus,5,asymmetric,0.01,0.33192109472347175
100% Corpus,5,asymmetric,0.31,0.3206557298266448
100% Corpus,5,asymmetric,0.61,0.3270523719724306
100% Corpus,5,asymmetric,0.91,0.321483901359896
100% Corpus,5,0.01,symmetric,0.32068961002366436
100% Corpus,5,0.01,0.01,0.3218133950001653
100% Corpus,5,0.01,0.31,0.31741740633407056
100% Corpus,5,0.01,0.61,0.3131268057128452
100% Corpus,5,0.01,0.91,0.3187402977944895
