Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.61,0.01,0.31312465712264015
100% Corpus,8,0.61,0.31,0.3133208154484186
100% Corpus,8,0.61,0.61,0.3120558010203181
100% Corpus,8,0.61,0.91,0.3112021641255136
100% Corpus,8,0.91,symmetric,0.3141653007409846
100% Corpus,8,0.91,0.01,0.3134819455798633
100% Corpus,8,0.91,0.31,0.31341718067817215
100% Corpus,8,0.91,0.61,0.31180548978951844
100% Corpus,8,0.91,0.91,0.3110385990704111
100% Corpus,9,symmetric,symmetric,0.31293601067191956
100% Corpus,9,symmetric,0.01,0.3128145885353045
100% Corpus,9,symmetric,0.31,0.3122716026286438
100% Corpus,9,symmetric,0.61,0.3117533680040723
100% Corpus,9,symmetric,0.91,0.3113594311360759
100% Corpus,9,0.01,symmetric,0.31220729747486653
100% Corpus,9,0.01,0.01,0.3114530183532424
100% Corpus,9,0.01,0.31,0.31194266861004094
100% Corpus,9,0.01,0.61,0.31186857912784377
100% Corpus,9,0.01,0.91,0.31180309551158886
100% Corpus,9,0.31,symmetric,0.3113845986788589
100% Corpus,9,0.31,0.01,0.3147828279324632
100% Corpus,9,0.31,0.31,0.31400448091566413
100% Corpus,9,0.31,0.61,0.31174315928777147
100% Corpus,9,0.31,0.91,0.3103682795682303
100% Corpus,9,0.61,symmetric,0.3109672820808444
100% Corpus,9,0.61,0.01,0.3108970089950132
100% Corpus,9,0.61,0.31,0.3106291598640815
100% Corpus,9,0.61,0.61,0.310457755025913
100% Corpus,9,0.61,0.91,0.312750085649705
100% Corpus,9,0.91,symmetric,0.3132571702698232
100% Corpus,9,0.91,0.01,0.31381467700267734
100% Corpus,9,0.91,0.31,0.3107807945238061
100% Corpus,9,0.91,0.61,0.31103619567291135
100% Corpus,9,0.91,0.91,0.31231499207686525
100% Corpus,10,symmetric,symmetric,0.3115154155486272
100% Corpus,10,symmetric,0.01,0.312628082607981
100% Corpus,10,symmetric,0.31,0.3111287033187683
100% Corpus,10,symmetric,0.61,0.3112051933903942
100% Corpus,10,symmetric,0.91,0.31030754855303144
100% Corpus,10,0.01,symmetric,0.31146813633393744
100% Corpus,10,0.01,0.01,0.3118511972914707
100% Corpus,10,0.01,0.31,0.31102494307319384
100% Corpus,10,0.01,0.61,0.30997430370251516
100% Corpus,10,0.01,0.91,0.31083928958026225
100% Corpus,10,0.31,symmetric,0.3118558982758574
100% Corpus,10,0.31,0.01,0.31834866602375145
100% Corpus,10,0.31,0.31,0.31607092238508644
100% Corpus,10,0.31,0.61,0.3152890860755942
100% Corpus,10,0.31,0.91,0.3137411274871013
100% Corpus,10,0.61,symmetric,0.3116668055715707
100% Corpus,10,0.61,0.01,0.31194403305068685
100% Corpus,10,0.61,0.31,0.31235453866561735
100% Corpus,10,0.61,0.61,0.3121906268827936
100% Corpus,10,0.61,0.91,0.31124623503071575
100% Corpus,10,0.91,symmetric,0.312280462780992
100% Corpus,10,0.91,0.01,0.3112394395191028
100% Corpus,10,0.91,0.31,0.31235565643359
100% Corpus,10,0.91,0.61,0.3113937860257684
100% Corpus,10,0.91,0.91,0.3112553688655753
