Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.01,symmetric,0.42952032824496333
75% Corpus,10,0.01,0.01,0.4241417645344761
75% Corpus,10,0.01,0.31,0.43125291417348527
75% Corpus,10,0.01,0.61,0.43091931900857566
75% Corpus,10,0.01,0.91,0.4318292778209579
75% Corpus,10,0.31,symmetric,0.4433637721282212
75% Corpus,10,0.31,0.01,0.4345022140106929
75% Corpus,10,0.31,0.31,0.44535034920766847
75% Corpus,10,0.31,0.61,0.44055397239501504
75% Corpus,10,0.31,0.91,0.43928097779943326
75% Corpus,10,0.61,symmetric,0.43851995809027955
75% Corpus,10,0.61,0.01,0.43905662743628693
75% Corpus,10,0.61,0.31,0.44527642742544016
75% Corpus,10,0.61,0.61,0.4349414201648467
75% Corpus,10,0.61,0.91,0.43650215526679864
75% Corpus,10,0.91,symmetric,0.4347069159617333
75% Corpus,10,0.91,0.01,0.43481859743831314
75% Corpus,10,0.91,0.31,0.4330292546187109
75% Corpus,10,0.91,0.61,0.4361733676204082
75% Corpus,10,0.91,0.91,0.4397323651573899
100% Corpus,2,symmetric,symmetric,0.44247895649918395
100% Corpus,2,symmetric,0.01,0.44863193541100777
100% Corpus,2,symmetric,0.31,0.44766994910211716
100% Corpus,2,symmetric,0.61,0.43552055633545983
100% Corpus,2,symmetric,0.91,0.43496234111654863
100% Corpus,2,asymmetric,symmetric,0.43624756729067515
100% Corpus,2,asymmetric,0.01,0.4292119260886439
100% Corpus,2,asymmetric,0.31,0.4345533155653246
100% Corpus,2,asymmetric,0.61,0.43611228745591524
100% Corpus,2,asymmetric,0.91,0.44520266026192906
100% Corpus,2,0.01,symmetric,0.4283285833297445
100% Corpus,2,0.01,0.01,0.44326294717780435
100% Corpus,2,0.01,0.31,0.4322377076209517
100% Corpus,2,0.01,0.61,0.44820111154526043
100% Corpus,2,0.01,0.91,0.42921789308376157
100% Corpus,2,0.31,symmetric,0.45432688754227024
100% Corpus,2,0.31,0.01,0.43666921500637285
100% Corpus,2,0.31,0.31,0.44664549682284815
100% Corpus,2,0.31,0.61,0.4466043407755039
100% Corpus,2,0.31,0.91,0.4407274102281221
100% Corpus,2,0.61,symmetric,0.4391608839442219
100% Corpus,2,0.61,0.01,0.429622121762951
100% Corpus,2,0.61,0.31,0.44059570135976944
100% Corpus,2,0.61,0.61,0.4406604558690751
100% Corpus,2,0.61,0.91,0.42984746445765354
100% Corpus,2,0.91,symmetric,0.4438898498108852
100% Corpus,2,0.91,0.01,0.44540337914929656
100% Corpus,2,0.91,0.31,0.4261944170875844
100% Corpus,2,0.91,0.61,0.44071451780954274
100% Corpus,2,0.91,0.91,0.4357265056312532
100% Corpus,3,symmetric,symmetric,0.44144926837566034
100% Corpus,3,symmetric,0.01,0.4452759229866101
100% Corpus,3,symmetric,0.31,0.42972469514790507
100% Corpus,3,symmetric,0.61,0.4265235095365109
100% Corpus,3,symmetric,0.91,0.44274036138548967
100% Corpus,3,asymmetric,symmetric,0.4426352805098424
100% Corpus,3,asymmetric,0.01,0.4243162378325403
100% Corpus,3,asymmetric,0.31,0.4513519548960243
100% Corpus,3,asymmetric,0.61,0.43919433406300046
100% Corpus,3,asymmetric,0.91,0.4367258329063774
100% Corpus,3,0.01,symmetric,0.4385567058510203
100% Corpus,3,0.01,0.01,0.4369157292352701
100% Corpus,3,0.01,0.31,0.44040796058185133
100% Corpus,3,0.01,0.61,0.4411346955343363
100% Corpus,3,0.01,0.91,0.4369776467195039
100% Corpus,3,0.31,symmetric,0.43803845029823263
100% Corpus,3,0.31,0.01,0.4361185441220965
100% Corpus,3,0.31,0.31,0.4352993601877136
100% Corpus,3,0.31,0.61,0.4367297525780464
100% Corpus,3,0.31,0.91,0.43577876395923937
100% Corpus,3,0.61,symmetric,0.4402912514322597
100% Corpus,3,0.61,0.01,0.4381320823490961
100% Corpus,3,0.61,0.31,0.44437509124664815
100% Corpus,3,0.61,0.61,0.439995270103863
100% Corpus,3,0.61,0.91,0.4438233840617591
100% Corpus,3,0.91,symmetric,0.43854095797098075
100% Corpus,3,0.91,0.01,0.4313244249924085
100% Corpus,3,0.91,0.31,0.43471373970347454
